file_name,file_size_original,file_size_transcoded,compression_ratio,transcoding_time,downsampling_algorithm,upsampling_algorithm
test_small,974331,4589554,4.7104669768282035,1125,ApproxBiLinear,NearestNeighbor
test_tiny,245004,1207077,4.926764460988392,274,NearestNeighbor,NearestNeighbor
test_large,14784572,53752615,3.635723441977218,19533,NearestNeighbor,CatmullRom
test_medium,3886238,15794376,4.064181349675445,4632,BiLinear,ApproxBiLinear
test_detail_high,785610,3602062,4.585051106783264,1047,ApproxBiLinear,CatmullRom
test_pixel,7649,68090,8.90181723101059,87,ApproxBiLinear,ApproxBiLinear
test_tiny,245004,1206890,4.926001208143541,317,BiLinear,ApproxBiLinear
test_medium,3886238,15190194,3.9087142887285853,3591,ApproxBiLinear,NearestNeighbor
test_detail_low,345237,3526027,10.213351987185614,1134,ApproxBiLinear,ApproxBiLinear
test_fine_print,30956,1535528,49.60356635224189,858,CatmullRom,BiLinear
test_fine_print,30956,659,0.021288280139552914,186,ApproxBiLinear,CatmullRom
test_color,502888,3135653,6.235290959418399,1082,NearestNeighbor,ApproxBiLinear
test_small,974331,4678604,4.8018630219093925,1435,NearestNeighbor,ApproxBiLinear
test_gradient,142670,416356,2.918314992640359,170,NearestNeighbor,ApproxBiLinear
test_fine_print,30956,1535528,49.60356635224189,1056,CatmullRom,ApproxBiLinear
test_pixel,7649,68090,8.90181723101059,85,NearestNeighbor,ApproxBiLinear
test_color,502888,2900019,5.766729371152225,1066,BiLinear,BiLinear
test_gradient,142670,693179,4.858617789303988,222,BiLinear,NearestNeighbor
test_small,974331,4688162,4.811672829869932,1453,BiLinear,BiLinear
test_medium,3886238,15273955,3.930267523502163,4302,CatmullRom,NearestNeighbor
test_black_white,331351,2748207,8.293945091458905,1267,CatmullRom,ApproxBiLinear
test_tiny,245004,1207077,4.926764460988392,299,NearestNeighbor,ApproxBiLinear
test_tiny,245004,1207077,4.926764460988392,297,NearestNeighbor,CatmullRom
test_pixel,7649,125068,16.3508955419009,98,ApproxBiLinear,CatmullRom
test_tiny,245004,1205305,4.9195319260093715,306,CatmullRom,NearestNeighbor
test_pixel,7649,120240,15.719701921819846,109,CatmullRom,NearestNeighbor
test_small,974331,4688162,4.811672829869932,1600,BiLinear,ApproxBiLinear
test_gradient,142670,36100,0.2530314712273078,100,CatmullRom,CatmullRom
test_medium,3886238,14702810,3.783301485910024,4054,ApproxBiLinear,ApproxBiLinear
test_tiny,245004,1206890,4.926001208143541,312,BiLinear,BiLinear
test_fine_print,30956,659,0.021288280139552914,217,ApproxBiLinear,ApproxBiLinear
test_black_white,331351,2821615,8.515486598803083,954,BiLinear,NearestNeighbor
test_black_white,331351,2744860,8.283844020389255,1155,CatmullRom,BiLinear
test_large,14784572,52539949,3.5537010472809087,22880,BiLinear,CatmullRom
test_medium,3886238,14781983,3.803674144506847,4304,BiLinear,CatmullRom
test_gradient,142670,416356,2.918314992640359,160,NearestNeighbor,BiLinear
test_fine_print,30956,659,0.021288280139552914,173,ApproxBiLinear,BiLinear
test_medium,3886238,14200465,3.6540389446040105,3814,ApproxBiLinear,CatmullRom
test_fine_print,30956,1440124,46.52164362320713,633,BiLinear,NearestNeighbor
test_pixel,7649,131404,17.179239116224345,145,CatmullRom,ApproxBiLinear
test_large,14784572,52259864,3.534756636850901,20191,ApproxBiLinear,ApproxBiLinear
test_tiny,245004,1206890,4.926001208143541,321,BiLinear,CatmullRom
test_medium,3886238,14702810,3.783301485910024,3805,ApproxBiLinear,BiLinear
test_black_white,331351,2685934,8.106008432145972,907,ApproxBiLinear,CatmullRom
test_color,502888,3325954,6.613707227056522,879,NearestNeighbor,NearestNeighbor
test_detail_high,785610,3602064,4.585053652575706,1220,BiLinear,CatmullRom
test_detail_high,785610,3602062,4.585051106783264,1126,NearestNeighbor,ApproxBiLinear
test_detail_high,785610,3602064,4.585053652575706,1319,CatmullRom,CatmullRom
test_detail_high,785610,3602062,4.585051106783264,1026,NearestNeighbor,BiLinear
test_gradient,142670,393208,2.75606644704563,149,NearestNeighbor,CatmullRom
test_small,974331,4533948,4.653396022501593,1373,ApproxBiLinear,ApproxBiLinear
test_black_white,331351,3140345,9.477397080437362,947,NearestNeighbor,BiLinear
test_fine_print,30956,659,0.021288280139552914,185,NearestNeighbor,CatmullRom
test_gradient,142670,36100,0.2530314712273078,95,CatmullRom,BiLinear
test_gradient,142670,29388,0.2059858414523025,72,ApproxBiLinear,CatmullRom
test_small,974331,4678604,4.8018630219093925,1295,NearestNeighbor,BiLinear
test_tiny,245004,1207077,4.926764460988392,283,NearestNeighbor,BiLinear
test_small,974331,4533948,4.653396022501593,1263,ApproxBiLinear,BiLinear
test_detail_low,345237,3527726,10.218273244177189,1128,NearestNeighbor,ApproxBiLinear
test_medium,3886238,14744687,3.794077202682903,4684,CatmullRom,ApproxBiLinear
test_black_white,331351,2791541,8.424724838615244,1031,BiLinear,BiLinear
test_large,14784572,52259864,3.534756636850901,18790,ApproxBiLinear,BiLinear
test_color,502888,2811228,5.590167194285805,1020,ApproxBiLinear,ApproxBiLinear
test_fine_print,30956,1514835,48.935101434293834,791,BiLinear,CatmullRom
test_detail_high,785610,3602064,4.585053652575706,1182,CatmullRom,NearestNeighbor
test_fine_print,30956,659,0.021288280139552914,134,NearestNeighbor,NearestNeighbor
test_gradient,142670,696989,4.885322772832411,212,ApproxBiLinear,NearestNeighbor
test_pixel,7649,131404,17.179239116224345,132,CatmullRom,CatmullRom
test_large,14784572,51859122,3.507651219122204,19770,ApproxBiLinear,CatmullRom
test_black_white,331351,2797940,8.44403668617267,772,ApproxBiLinear,NearestNeighbor
test_detail_low,345237,3220730,9.32904063005993,842,NearestNeighbor,NearestNeighbor
test_detail_low,345237,3522686,10.203674577174521,1043,NearestNeighbor,CatmullRom
test_medium,3886238,14744687,3.794077202682903,4456,CatmullRom,BiLinear
test_small,974331,4567407,4.687736508435019,1721,CatmullRom,ApproxBiLinear
test_detail_low,345237,3527716,10.218244278568056,1411,CatmullRom,ApproxBiLinear
test_medium,3886238,15794376,4.064181349675445,4391,BiLinear,BiLinear
test_detail_low,345237,3520992,10.198767802987513,1048,BiLinear,NearestNeighbor
test_detail_low,345237,3517625,10.189015082392675,1178,CatmullRom,NearestNeighbor
test_large,14784572,53654535,3.6290894995134115,18873,NearestNeighbor,BiLinear
test_large,14784572,56449958,3.8181665319767117,17249,NearestNeighbor,NearestNeighbor
test_color,502888,2811245,5.590200999029605,891,ApproxBiLinear,BiLinear
test_large,14784572,52541161,3.553783024628647,24141,CatmullRom,BiLinear
test_color,502888,2876590,5.72014046865306,1061,CatmullRom,NearestNeighbor
test_medium,3886238,16517850,4.250344420490974,4198,NearestNeighbor,CatmullRom
test_color,502888,2905016,5.776665977315028,1187,BiLinear,ApproxBiLinear
test_black_white,331351,2796569,8.439899079827736,1059,CatmullRom,NearestNeighbor
test_tiny,245004,1207041,4.926617524611843,290,ApproxBiLinear,ApproxBiLinear
test_color,502888,2809656,5.587041249741493,1264,CatmullRom,ApproxBiLinear
test_black_white,331351,2739784,8.268524917685475,1061,BiLinear,CatmullRom
test_large,14784572,53654535,3.6290894995134115,21021,NearestNeighbor,ApproxBiLinear
test_pixel,7649,131401,17.17884690809256,122,BiLinear,ApproxBiLinear
test_color,502888,3133981,6.231966163439971,954,NearestNeighbor,BiLinear
test_detail_low,345237,3527716,10.218244278568056,1289,CatmullRom,BiLinear
test_detail_high,785610,3602064,4.585053652575706,1208,BiLinear,BiLinear
test_black_white,331351,2793195,8.429716524169235,1157,BiLinear,ApproxBiLinear
test_tiny,245004,1205234,4.919242134822289,289,BiLinear,NearestNeighbor
test_detail_low,345237,3529396,10.223110500902278,1223,BiLinear,CatmullRom
test_small,974331,4727158,4.851696189487966,1142,NearestNeighbor,NearestNeighbor
test_detail_low,345237,3531072,10.227965136992848,1288,BiLinear,ApproxBiLinear
test_color,502888,2905029,5.776691828001463,960,BiLinear,NearestNeighbor
test_detail_low,345237,3527726,10.218273244177189,1005,NearestNeighbor,BiLinear
test_tiny,245004,1207041,4.926617524611843,282,ApproxBiLinear,BiLinear
test_gradient,142670,36116,0.2531436181397631,85,ApproxBiLinear,ApproxBiLinear
test_detail_high,785610,3602062,4.585051106783264,917,ApproxBiLinear,NearestNeighbor
test_gradient,142670,36062,0.2527651223102264,88,BiLinear,CatmullRom
test_color,502888,3247504,6.4577082769920935,999,NearestNeighbor,CatmullRom
test_pixel,7649,125068,16.3508955419009,99,NearestNeighbor,CatmullRom
test_color,502888,2871377,5.7097743433925645,797,ApproxBiLinear,NearestNeighbor
test_detail_high,785610,3602064,4.585053652575706,1295,CatmullRom,BiLinear
test_large,14784572,54098605,3.6591255397856632,19654,BiLinear,NearestNeighbor
test_pixel,7649,68090,8.90181723101059,74,ApproxBiLinear,BiLinear
test_black_white,331351,2744732,8.283457723079152,914,ApproxBiLinear,BiLinear
test_detail_high,785610,3602064,4.585053652575706,1405,CatmullRom,ApproxBiLinear
test_pixel,7649,2484,0.32474833311543994,33,NearestNeighbor,NearestNeighbor
test_pixel,7649,131401,17.17884690809256,117,BiLinear,CatmullRom
test_detail_low,345237,3526027,10.213351987185614,1011,ApproxBiLinear,BiLinear
test_detail_high,785610,3602064,4.585053652575706,1297,BiLinear,ApproxBiLinear
test_detail_low,345237,3527716,10.218244278568056,1367,CatmullRom,CatmullRom
test_large,14784572,53655464,3.629152335285729,24302,BiLinear,ApproxBiLinear
test_fine_print,30956,1494294,48.271546711461426,924,CatmullRom,CatmullRom
test_fine_print,30956,659,0.021288280139552914,170,NearestNeighbor,BiLinear
test_black_white,331351,2664542,8.041448494194977,1175,CatmullRom,CatmullRom
test_color,502888,2742645,5.4537889152256565,1180,CatmullRom,CatmullRom
test_small,974331,4563906,4.684143273692411,1490,BiLinear,CatmullRom
test_medium,3886238,17422509,4.483129700239666,3940,NearestNeighbor,NearestNeighbor
test_small,974331,4321936,4.435798512004648,1560,CatmullRom,CatmullRom
test_fine_print,30956,659,0.021288280139552914,149,ApproxBiLinear,NearestNeighbor
test_large,14784572,53655464,3.629152335285729,22729,BiLinear,BiLinear
test_black_white,331351,3142010,9.482421963416437,1066,NearestNeighbor,ApproxBiLinear
test_fine_print,30956,1543905,49.87417625016152,773,BiLinear,BiLinear
test_color,502888,2811335,5.5903799653203095,1158,CatmullRom,BiLinear
test_small,974331,4629544,4.751510523631087,1315,BiLinear,NearestNeighbor
test_gradient,142670,80787,0.5662507885329782,102,BiLinear,BiLinear
test_medium,3886238,16382189,4.215436368024809,4059,NearestNeighbor,BiLinear
test_small,974331,4268185,4.380631428128634,1245,ApproxBiLinear,CatmullRom
test_pixel,7649,131401,17.17884690809256,109,BiLinear,BiLinear
test_detail_high,785610,3602062,4.585051106783264,1017,ApproxBiLinear,BiLinear
test_black_white,331351,3307001,9.980356178191705,850,NearestNeighbor,NearestNeighbor
test_detail_high,785610,3602062,4.585051106783264,1140,ApproxBiLinear,ApproxBiLinear
test_detail_high,785610,3602062,4.585051106783264,893,NearestNeighbor,NearestNeighbor
test_gradient,142670,36100,0.2530314712273078,108,CatmullRom,ApproxBiLinear
test_gradient,142670,1034130,7.248405411088526,262,NearestNeighbor,NearestNeighbor
test_detail_low,345237,3524348,10.208488661412305,1063,ApproxBiLinear,CatmullRom
test_fine_print,30956,659,0.021288280139552914,220,NearestNeighbor,ApproxBiLinear
test_color,502888,2821367,5.610328741190881,1075,BiLinear,CatmullRom
test_tiny,245004,1206961,4.926290999330623,332,CatmullRom,ApproxBiLinear
test_large,14784572,52541161,3.553783024628647,25498,CatmullRom,ApproxBiLinear
test_large,14784572,54243907,3.6689534874597656,16456,ApproxBiLinear,NearestNeighbor
test_medium,3886238,16382189,4.215436368024809,4293,NearestNeighbor,ApproxBiLinear
test_black_white,331351,2748058,8.293495417246364,996,ApproxBiLinear,ApproxBiLinear
test_detail_high,785610,3602062,4.585051106783264,1061,NearestNeighbor,CatmullRom
test_tiny,245004,1202003,4.90605459502702,329,CatmullRom,CatmullRom
test_large,14784572,53850290,3.642329991020369,21580,CatmullRom,NearestNeighbor
test_pixel,7649,2484,0.32474833311543994,34,ApproxBiLinear,NearestNeighbor
test_medium,3886238,14200430,3.6540299384649115,4450,CatmullRom,CatmullRom
test_gradient,142670,723435,5.070687600756992,257,CatmullRom,NearestNeighbor
test_color,502888,2752463,5.473312149027219,922,ApproxBiLinear,CatmullRom
test_pixel,7649,131404,17.179239116224345,125,CatmullRom,BiLinear
test_tiny,245004,1206961,4.926290999330623,326,CatmullRom,BiLinear
test_gradient,142670,80787,0.5662507885329782,122,BiLinear,ApproxBiLinear
test_tiny,245004,1205386,4.919862532856606,267,ApproxBiLinear,NearestNeighbor
test_small,974331,4691989,4.815600653166121,1351,NearestNeighbor,CatmullRom
test_large,14784572,51775292,3.501981119236999,25076,CatmullRom,CatmullRom
test_fine_print,30956,1543905,49.87417625016152,919,BiLinear,ApproxBiLinear
test_tiny,245004,1205375,4.919817635630439,300,ApproxBiLinear,CatmullRom
test_small,974331,4597788,4.718917903669287,1453,CatmullRom,NearestNeighbor
test_fine_print,30956,1385383,44.75329499935392,785,CatmullRom,NearestNeighbor
test_pixel,7649,121816,15.925741927049287,93,BiLinear,NearestNeighbor
test_gradient,142670,36116,0.2531436181397631,74,ApproxBiLinear,BiLinear
test_detail_low,345237,3509207,10.164631832625124,895,ApproxBiLinear,NearestNeighbor
test_medium,3886238,15603572,4.015083996399603,4075,BiLinear,NearestNeighbor
test_pixel,7649,68090,8.90181723101059,73,NearestNeighbor,BiLinear
test_black_white,331351,3225374,9.734010158412076,1003,NearestNeighbor,CatmullRom
test_detail_high,785610,3602064,4.585053652575706,1075,BiLinear,NearestNeighbor
test_detail_low,345237,3531072,10.227965136992848,1170,BiLinear,BiLinear
test_small,974331,4567407,4.687736508435019,1638,CatmullRom,BiLinear
